Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other related tags,Notes,url_slug,Image Location,TBL Image S3 Location
,Pastel Watercolor Escort Card Display,"The ceremony followed Emily and Mason's traditions. ""My dad escorted me down the aisle,"" Emily says. ""During the reception, we performed the ""Aggie War Hymn"" with other Aggie guests in attendance."" A country music singer also performed.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI1MDk5,"Photo has wide appeal as boho, romantic, eclectic, and modern",3:  Watercolor   Escort + Place Cards   Pastels,Caroline Eubanks,"""additional_terms"" : [
		""pastel"",
		""emily"",
		""card"",
		""performed"",
		""display"",
		""aisle""
	],
	""concepts"" : [
		""watercolor"",
		""pastels"",
		""traditions"",
		""music"",
		""country"",
		""reception"",
		""guests"",
		""ceremony""
	]
","colorful, DIY, escort + place cards, watercolor, modern, pastels","affordable, casual, simple, calligraphy, lavender, mint, turquoise, bohemian, romantic, wood",,,https://www.theknot.com/real-weddings/pastel-watercolor-escort-card-display-photo,https://apis.xogrp.com/media-api/images/0e5aa89c-b7d6-11e5-af58-22000aa61a3e~rs_729.h,
,Flower Wall With Glass Pillar Vases,"Long-stemmed bunches of white flowers in glass pillar vases were placed on white pedestals of varying heights to create the couple's one-of-a-kind ceremony backdrop at the Hay-Adams in Washington, DC.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyMjg5,Glam + Modern as top two style tags, 5: Elegant   White   Decorations + Accents  Flower Arrangements   Modern,,"	""additional_terms"" : [
		""glass"",
		""create"",
		""bunches"",
		""placed""
	],
	""concepts"" : [
		""vases"",
		""glassware"",
		""pedestals"",
		""backdrops"",
		""white"",
		""ceremony""
	]
","modern, white, green, elegant, roses, vases, pedastals, hydrangea, flower arrangements, backdrops","simple, luxury, candles, bouquets, ballroom, historic venue, glamorous, romantic",,,https://www.theknot.com/real-weddings/flower-wall-with-glass-pillar-vases-photo,https://apis.xogrp.com/media-api/images/4fbc248e-8980-11e5-9816-22000aa61a3e~rs_729.h,
,Hookah Lounge,"Lounges with a Hookah pipe, antique sofas, Moroccan rugs, lanterns, woven pillows and ottomans were set up inside and outside of the reception tent.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyOTg0,Boho as the primary tag, 5: Lanterns   Draping   Lounge Furniture   Bohemian  Tented,,"	""additional_terms"" : [
		""inside""
	],
	""concepts"" : [
		""piping"",
		""lanterns"",
		""tented"",
		""tents"",
		""reception""
	]
","bohemian, macrame, earth tones, lanterns, lounge furniture","casual, backdrops, ikat, copper, taupe, gold, brown, candles, backyard, garden, burnt orange, rustic",,,https://www.theknot.com/real-weddings/hookah-lounge-photo,https://apis.xogrp.com/media-api/images/c36313f4-8c85-11e5-9816-22000aa61a3e~rs_729.h,
,Silver Lamp Centerpiece With Beaded Shades,"""I'm not a big color person, so my motto was 'chic but minimal,' "" Taryn says of outfitting their iconic venue with sleek items, like this silver centerpiece surrounded by succulents.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NTQz,,3:  Silver   Centerpieces   Glamorous,Rachel Sylvester,"	""additional_terms"" : [
		""centerpiece"",
		""surrounded"",
		""beaded"",
		""shades""
	],
	""concepts"" : [
		""silver"",
		""centerpieces"",
		""succulents"",
		""minimal"",
		""chic"",
		""color""
	]
","silver, flower alternatives, glamorous, silver, elegant, succulent, candles","mirrored, elegant, luxury, metallics, neutrals, gray, candelabra, centerpieces, cocktail tables, art deco, modern",winter,,https://www.theknot.com/real-weddings/silver-lamp-centerpiece-with-beaded-shades-photo,https://apis.xogrp.com/media-api/images/f56050e7-38b0-11e6-af22-0e6345a2d5d3~rs_729.h,
,Blush Rose and Ivory Hydrangea Chair Decor,"To distinguish their seats at the head table, Mia and Jake had Celadon and Celery Events create floral garlands for their ghost chiavari chairs. Featuring blush roses, white hydrangeas and greenery, the arrangements achieved a whimsical, garden feel.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQyNjQ3,,2:  Flower Arrangements   Reception,Libby MacCarthy,"""additional_terms"" : [
		""achieved"",
		""featuring"",
		""create"",
		""decor"",
		""floral"",
		""arrangements"",
		""events"",
		""jake"",
		""head"",
		""seats""
	],
	""concepts"" : [
		""blush"",
		""hydrangeas"",
		""chairs"",
		""garland"",
		""chiavari chairs"",
		""leaves"",
		""whimsical"",
		""roses"",
		""ivory"",
		""tables"",
		""white"",
		""garden""
	]
","Classic, elegant, formal, traditional, roses, hydrangea, chiavari chairs, modern, pink, white","ribbon, reception tables, blush, color, flower arrangements, tables, sweetheart table, loft, romantic, ",,,https://www.theknot.com/real-weddings/blush-rose-and-ivory-hydrangea-chair-decor-photo,,
,"Graphic, Hexagonal Escort Cards","Heavily involved in the design of their paper goods, Lauren and Ben strove for a look that said more ""art gallery opening"" than ""traditional wedding,"" which especially came across in the hexagonal escort cards.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDA2MTE2,,3:  Geometric   Escort + Place Cards   Modern,Stephanie Cain,"""additional_terms"" : [
		""escort cards"",
		""design"",
		""lauren"",
		""opening""
	],
	""concepts"" : [
		""museum"",
		""paper goods"",
		""invitations + paper goods"",
		""graphic"",
		""traditional"",
		""classic"",
		""wedding""
	]
","geometric, modern, bohemian, gold, black, typography, escort + place cards","affordable, simple, alternative, DIY, retro",,,https://www.theknot.com/real-weddings/graphic-hexagonal-escort-cards-photo,https://apis.xogrp.com/media-api/images/f5f51d48-7421-11e5-9816-22000aa61a3e~rs_729.h,
,The Bride and Groom's Table,Two industrial iron chairs in mint marked the bride and groom's spot at the reception.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzg5MjAz,,2:  Mint   Reception,Ginger Harris,"	""additional_terms"" : [
		""industrial"",
		""marked"",
		""spot""
	],
	""concepts"" : [
		""chairs"",
		""mint"",
		""tables"",
		""reception"",
		""bride""
	]
","garden, romantic, pastels, sweetheart table, candles, mint, reception, industrial","Marais Chair, casual, color, colorful, pink, centerpieces, tables, restaurant, bohemian, grey, table numbers, garden roses, garland, roses, vintage",,,https://www.theknot.com/real-weddings/the-bride-and-grooms-table-photo,https://apis.xogrp.com/media-api/images/044db232-3d37-11e5-9816-22000aa61a3e~rs_729.h,
,"Rustic Ceremony Decor, Candles and Greenery","At the indoor ceremony, rustic white wooden boxes were topped with soft greenery and white candles to lend the room a romantic warmth.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDMyODc1,,3:  Candles   Flower Arrangements   Ceremony,Carolyn Meers,"	""additional_terms"" : [
		""indoor"",
		""topped"",
		""room"",
		""soft"",
		""wooden"",
		""wooden boxes""
	],
	""concepts"" : [
		""leaves"",
		""candles"",
		""rustic"",
		""romantic"",
		""white"",
		""ceremony""
	]
","modern, rustic, pedestals, greens, candles, rose petals, decorations + accents","backdrops, green, romantic, antique, vases, neutrals, green, flower arrangements, tulips, historic venue, bohemian, vintage,  garland",,,https://www.theknot.com/real-weddings/rustic-ceremony-decor-candles-and-greenery-photo,https://apis.xogrp.com/media-api/images/19f4bcc2-fb49-11e5-b8ed-22000aa61a3e~rs_729.h,
,Colorful Carpet Aisle Runner,"Overlapping, colorful rugs functioned as an eclectic aisle runner and brightened the organic ceremony space.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU3NzAy,,5:  Aisle Decorations   Folding Chairs   Bohemian   Park  Ceremony,Samantha Meux,"	""additional_terms"" : [
		""runner"",
		""aisle""
	],
	""concepts"" : [
		""colorful"",
		""eclectic"",
		""organic"",
		""ceremony""
	]
","bohemian, aisle decorations, sunflowers, ceremony, colorful","Casual, simple, ferns, vintage, garden, pedestals, plants, backyard, park, alternative, retro, eclectic, eco-friendly",,,https://www.theknot.com/real-weddings/colorful-carpet-aisle-runner-photo,https://apis.xogrp.com/media-api/images/408bf7b4-0e64-11e6-b8ed-22000aa61a3e~rs_729.h,
,Modern Chandelier with Hanging Vines,"At the tented cocktail hour, a modern-styled chandelier hung from the ceiling. The square frame had leafy vines and glass bulbs hanging from its structure, bringing a natural, contemporary look into the space.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzk4ODMx,,2:  Chandeliers   Modern,Nicoletta Richardson ,"""additional_terms"" : [
		""hanging"",
		""chandelier"",
		""chandelier hung"",
		""frame"",
		""square"",
		""space"",
		""bringing"",
		""contemporary""
	],
	""concepts"" : [
		""chandeliers"",
		""tented"",
		""cocktail hour"",
		""natural"",
		""modern"",
		""glassware""
	]
","DIY, greens, decorations + accents, simple, bohemian","affordable, casual, transparent, greens, tents, modern, alternative ",,,https://www.theknot.com/real-weddings/modern-chandelier-with-hanging-vines-photo,https://apis.xogrp.com/media-api/images/9aee1af0-5bd3-11e5-9816-22000aa61a3e~rs_729.h,
,Arch Covered in Greenery,"During the ceremony, an arch was decked out with greenery, and mason jars filled with floral arrangements were suspended from it.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU2NTkx,,4:  Mason Jars   Wedding Arch   Vintage   Farm + Ranch,Marissa Hermanson,"	""additional_terms"" : [
		""greenery"",
		""arch"",
		""decked"",
		""during""
	],
	""concepts"" : [
		""leaves"",
		""mason jars"",
		""ceremony""
	]
","wedding arch, greens, burlap, mason jars, rustic, farm + ranch","affordable, leaves, earth tones, taupe, dahlias, backyard, decorations + accents, altar, bohemian, country, ",,,https://www.theknot.com/real-weddings/arch-covered-in-greenery-photo-1,https://apis.xogrp.com/media-api/images/121fce4f-2bf7-11e6-af22-0e6345a2d5d3~rs_729.h,
,Wood Pew Bench Ceremony Seating,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI2MjEx,,3:  Wood   Chairs   Ceremony,Allie Volpe,"	""concepts"" : [
		""benches"",
		""wood"",
		""ceremony seating"",
		""ceremony""
	]
","benches, wood, retro, bohemian, trees, rustic, ceremony","simple, affordable, decorations + accents, casual, ikat, hippie, earth tones, color, backyard, park, farm + ranch, garden, country, DIY, ",,,https://www.theknot.com/real-weddings/wood-pew-bench-ceremony-seating-photo,https://apis.xogrp.com/media-api/images/16f9978e-bbb8-11e5-af58-22000aa61a3e~rs_729.h,
,Signature Cocktails Wood Barn Sign,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDIzMTQ5,,5:  DIY   Wood   Brown   Bar + Drinks   Signs,Allie Volpe,"	""concepts"" : [
		""signature cocktails"",
		""wood"",
		""barn"",
		""signs""
	]
","DIY, wood, rustic, signs, bar + drinks","affordable, simple, casual, brown, cocktail hour, bohemain,",,,https://www.theknot.com/real-weddings/signature-cocktails-wood-barn-sign-photo-1,https://apis.xogrp.com/media-api/images/f35ca2b4-b309-11e5-be52-22000aa61a3e~rs_729.h,
,Glass Vases With Purple Orchids and Floating Candles,Glass vases were filled with purple orchids and floating gold candles for a romantic touch.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQ4NTcy,"
",6:  Purple   Candles   Vases   Glamorous   Romantic  Orchids,Samantha Meux,"	""additional_terms"" : [
		""filled""
	],
	""concepts"" : [
		""orchids"",
		""vases"",
		""glassware"",
		""candles"",
		""gold"",
		""purple"",
		""romantic""
	]","orchids, vases, candles, purple, glamorous, simple","decorations + accents, backdrop, jewel tones, plum, flower arrangements , gold",,,https://www.theknot.com/real-weddings/glass-vases-with-purple-orchids-and-floating-candles-photo,https://apis.xogrp.com/media-api/images/67986070-0c2c-11e6-b8ed-22000aa61a3e~rs_729.h,
