,Title,Body Copy,TBL Studio Link,Published tags,Editorial Feedback,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Related tags,Other Notes,url_slug,Image Location,TBL Image S3 Location
,Romantic White and Pink Chandelier Tent Reception,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk0MzQw,0 tags,"Style is romantic + classic; secondarily glam. Note: not sure why this wasn't further written; Jen is a former intern of ours. However, the intro copy has some written text that could be plugged in to these such as: Soft hues of peach, blush and gold were incorporated throughout the open venue creating a natural, romantic atmosphere",Jen Leahy,"        ""concepts"" : [
                ""chandeliers"",
                ""tented"",
                ""tents"",
                ""pink"",
                ""romantic"",
                ""white"",
                ""reception""
        ]","romantic, long tables, elegant, neutrals, dining tables, lounge furniture, tent","classic, pastels, tables, formal, luxury, champagne, ivory, gold, pink, low centerpieces, seated meal, chandeliers, chiavari chairs, glamorous, preppy, southern, waterfront, country club, estate, garden, summer",,,https://www.theknot.com/real-weddings/romantic-white-and-pink-chandelier-tent-reception-photo,https://apis.xogrp.com/media-api/images/c538e696-331f-11e5-9816-22000aa61a3e~rs_729.h,
,Outdoor Garden Ceremony Under Pergola,Greenery and peach and white blossoms decorated the aisle and the pergola that Carly and Kevin said their vows under.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkyNjUw,4:  Aisle Decorations   Wedding Arch   Spring   Ceremony,"hits garden vibe more than specific style; for style, the vibe is romantic; could be perceived to classic",Carolyn Meers,"""additional_terms"" : [
                ""carly"",
                ""kevin"",
                ""outdoor""
        ],
        ""concepts"" : [
                ""leaves"",
                ""peach"",
                ""garden"",
                ""ceremony"",
                ""vows"",
                ""white""
        ]
","elegant, garden, romantic, peach, ceremony, aisle decorations","color, leaves, ribbon, blush, altar, garland, chiavari chairs, hotel, garden roses, greens, ",,,https://www.theknot.com/real-weddings/outdoor-garden-ceremony-under-pergola-photo,https://apis.xogrp.com/media-api/images/cc82dd0e-1c49-11e5-be0a-22000aa61a3e~rs_729.h,
,Geometric Chandeliers at Reception,"At the outdoor garden reception at Rancho Valencia in Rancho Santa Fe, California, chic geometric chandeliers were strung over the long banquet tables to add light and cozy ambiance.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkyNjUw,6:  Chandeliers   Tables   Rustic   Garden   Spring  Reception,"Feels primarily eclectic (so whimsical), also romantic, modern, could be perceived as boho or possibly rustic, and even glam. The mismatched-globes drive the eclectic vibe, along with pops or orange (note: ceremony photo above is from the same wedding)",Carolyn Meers,"""additional_terms"" : [
		""strung"",
		""light"",
		""outdoor"",
		""long"",
		""cozy""
	],
	""concepts"" : [
		""geometric"",
		""chandeliers"",
		""chic"",
		""lighting"",
		""reception"",
		""tables"",
		""garden""
	]
","reception, dining tables, tablescape, green, orange, lanterns, geometric, greenery, romantic","fruit, garden roses, candles, brown, wood, garland, flower arrangements, formal, elegant, colorful, rustic, sage, centerpieces, earth tones, Cross-back chairs, seated meal, garden, rustic, hotel, whimsical, eclectic, natural, preppy, spring, ",,,https://www.theknot.com/real-weddings/geometric-chandeliers-at-reception-photo,https://apis.xogrp.com/media-api/images/016e1f88-1c4a-11e5-be0a-22000aa61a3e~rs_729.h,
,Large Moss Topiaries Lining Aisle,"Mimsy and Jeff got married in front of large windows at the Gallery event space, overlooking downtown Kansas City. The wooden chuppah was decorated with sheer ivory drapery and beautiful white florals and greenery. Aisles were lined with large moss topiaries atop glass vases and gray pillars.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkwMjg3,"5: 
 Decorations + Accents   Aisle Decorations   Ceremony   Loft  Moss","Primarily modern + eclectic - the minimal, clean aspect makes it lean more towards modern since it's more artistic",Chrissy Sorenson,"	""additional_terms"" : [
		""downtown"",
		""event"",
		""aisle"",
		""jeff"",
		""decorated"",
		""overlooking"",
		""beautiful"",
		""lined"",
		""glass"",
		""wooden"",
		""large windows"",
		""space"",
		""married"",
		""city""
	],
	""concepts"" : [
		""moss"",
		""chuppah"",
		""leaves"",
		""vases"",
		""glassware"",
		""gray"",
		""ivory"",
		""white""
	]
","ceremony, modern, green, white, loft, moss","Simple, Cross-back chairs, color, pedestal, earth tones, brown, aisle decorations, altar, ivory, greenery, chuppah, wood, museum, alternative, whimsical, ivy, roses, hydrangea",,,https://www.theknot.com/real-weddings/large-moss-topiaries-lining-aisle-photo,https://apis.xogrp.com/media-api/images/66881b22-8c8f-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,"Lanterns, Flowers and Candles on Head Table",Lanterns added a distinctive element to the head table decor.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDkwMjg3,3:  Centerpieces   Lanterns   Reception,"Fits the modern vibe because of the top candles, though not screamingly modern. The wooden table could through off the modern vibe and point this more towards rustic. But still worth a secondary tag.  (also note this matches the same ceremony shot above)",Chrissy Sorenson,"""additional_terms"" : [
		""head"",
		""table"",
		""flowers""
	],
	""concepts"" : [
		""lanterns"",
		""candles"",
		""tables""
	]
","modern, lanterns, tablescape, seated meal, wood, candles","greenery, earth tones, orange, green, orchids, flower alternatives, seated meal, natural, rustic, reception",,,https://www.theknot.com/real-weddings/lanterns-flowers-and-candles-on-head-table-photo,https://apis.xogrp.com/media-api/images/83f2446a-8c8f-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Blue and White Flowers on Tables,Tables were decorated in tall white vases holding arrangements of blue delphiniums.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk1Mjgw,5:  Blue   Centerpieces   Modern   Reception  Delphiniums,"the venue and vessels really push this more modern. This is good also for budget-friendly because ther flowers are relatively simple. If you took the flowers and put them in a field, they'd have a non-modern vibe, but in this case, it still feels modern.",Chrissy Sorenson,"""additional_terms"" : [
		""tall""
	],
	""concepts"" : [
		""blue"",
		""delphiniums"",
		""tables"",
		""vases"",
		""white""
	]
","modern, blue, white, simple, delphiniums","affordable, vintage, color, royal blue, tablescape, centerpieces, chiavari chairs, vases, glassware, museum",,,https://www.theknot.com/real-weddings/blue-and-white-flowers-on-tables-photo,https://apis.xogrp.com/media-api/images/14248f72-6af6-11e5-9816-22000aa61a3e~rs_729.h,
,A Lit Canopy Under the Stars,"""We had twinkle lights lining the inside of the clear tent. When it got dark, it gave off a beautiful starry-night feel,"" Marya says. Romantic flowers blooming from textured pots sat atop round and long tables accented with round wooden chairs.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU0ODg1,5:  Luxury   String Lights   Garden   Reception   Tented,"Romantic + Classic: While similar to some other shots, I anticipate some users will respond more to this image because it captures the romantic vibe under the lights",Ginger Harris,"        ""additional_terms"" : [
                ""sat atop"",
                ""lining"",
                ""round"",
                ""flowers"",
                ""clear"",
                ""sat"",
                ""wooden"",
                ""inside"",
                ""gave"",
                ""blooming"",
                ""dark"",
                ""beautiful""
        ],
        ""concepts"" : [
                ""chairs"",
                ""textured"",
                ""tented"",
                ""tents"",
                ""tables"",
                ""romantic"",
                ""stars""
        ]","reception, tents, romantic, elegant, string lights, blush","cross-back chairs, plants, luxury, garden, wood, glamorous, neutrals, rustic, centerpieces, pink, garden, summer",,,https://www.theknot.com/real-weddings/a-lit-canopy-under-the-stars-photo,,
,Tall Cherry Blossom and Tulip Centerpieces,"For the tall, statement centerpieces, Petalena Flowers tapped into the spring season for inspiration. Using pale pink French tulips and fresh, fragrant cherry blossoms, the team of florists filled the chic, modern venue with undeniable spring flair.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzgyNzcx,8:  Luxury   Traditional   Latino   Gold   Ballroom  Hotel   Spring   Interfaith,"Style should lean towards modern, romantic, glam. The cultural tags don't really apply to this image, but do to the full album",Libby MacCarthy,"	""additional_terms"" : [
		""tulip"",
		""tall"",
		""pale"",
		""fresh"",
		""filled"",
		""flowers""
	],
	""concepts"" : [
		""cherry blossoms"",
		""tulips"",
		""centerpieces"",
		""french"",
		""spring"",
		""chic"",
		""pink"",
		""modern""
	]
","modern, reception, tall centerpieces, centerpieces, cherry blossoms","simple, elegant, chiavari chairs, pink, vases, seated meal, formal, glamorous, preppy, romantic, rooftop, ",,,https://www.theknot.com/real-weddings/tall-cherry-blossom-and-tulip-centerpieces-photo,https://apis.xogrp.com/media-api/images/83899dc2-00ba-11e5-be0a-22000aa61a3e~rs_729.h,
,"Traditional, Elegant Ivory Reception Decor","The reception room at the Four Seasons Resort was light and airy. Neutral tablecloths with embroidered, oversized flowers and ivory chiavari chairs were the backdrop to the elegant blush and ivory centerpieces surrounded by elegantly mixed metals in the votive candle holders and dinnerware.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzEzNTI2,6:  Traditional   Ivory   Blush   Decorations + Accents  Ballroom   Reception,Classic luxe ballroom wedding; also romantic as secondary,no byline provided,"""additional_terms"" : [
		""seasons"",
		""mixed"",
		""decor"",
		""flowers""
	],
	""concepts"" : [
		""ivory"",
		""dinnerware"",
		""elegant"",
		""chiavari chairs"",
		""neutrals"",
		""backdrops"",
		""resorts"",
		""hotel"",
		""candles"",
		""blush"",
		""centerpieces"",
		""traditional"",
		""classic"",
		""reception"",
		""chairs"",
		""lighting""
	]
","classic, traditional, pink, luxury, pastels, pink, ivory, reception, centerpieces","candles, chiavari chairs, elegant, regal, taupe, tall centerpieces, vases, seated meal, linens, tables, tablescape, ballroom, glamorous, romantic, country club, draping",,,https://www.theknot.com/real-weddings/traditional-elegant-ivory-reception-decor-photo,https://apis.xogrp.com/media-api/images/47985658-8646-11e4-843f-22000aa61a3e~rs_729.h,
,Rustic Barn for Cocktail Hour,"After the outdoor ceremony, guests picked up handcrafted beers and cocktails from the bar in this rustic structure—which sported an overhanging trellis that blossomed with all the right colors.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg4MzIx,4:  Bohemian   Rustic   Backyard   Reception,These tags seem good! could add secondary eclectic,Carolyn Meers,"""additional_terms"" : [
		""outdoor"",
		""bar""
	],
	""concepts"" : [
		""rustic"",
		""beer"",
		""cocktail hour"",
		""barn"",
		""color"",
		""guests"",
		""ceremony""
	]
","cocktail hour, barn, greenery, rustic, trees, colorful, greens, ivy, bohemian","eco-friendly, whimsical, casual, color, brights, red, yellow, orange, decorations + accents, centerpieces, pedestals, backyard, farm + ranch, whimsical, eclectic, vineyard,summer, roses, dahlias, draping",,,https://www.theknot.com/real-weddings/rustic-barn-for-cocktail-hour-photo,https://apis.xogrp.com/media-api/images/6443d7f7-b511-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Outdoor Ceremony in Tree Grove,"""For the ceremony we chose a forested area under the arches of the trees. We wanted a ceremony site that was not over decorated,"" Karin says. ""We did not want to take away from the ceremony itself or the space itself.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg4MzIx,2:  Backyard   Ceremony,"Missing rustic, possibly boho (note: same wedding as above)",Carolyn Meers,"""additional_terms"" : [
		""tree"",
		""arches"",
		""decorated"",
		""forested"",
		""space"",
		""ceremony site"",
		""area"",
		""outdoor"",
		""chose""
	],
	""concepts"" : [
		""trees"",
		""ceremony""
	]
","ceremony, natural, rustic, wood, trees, colorful","casual, pedestal, signs, eco-friendly, bohemian, whimsical, folding chairs, orange, yellow, brights, dahlias, roses, eucatlyptus, greenery, aisle decorations, romantic, barn, farm + ranch, park, vineyard, summer",,,https://www.theknot.com/real-weddings/outdoor-ceremony-in-tree-grove-photo,https://apis.xogrp.com/media-api/images/85b5b3e0-b511-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Greenery and Flowers Hanging From Ceiling,Hanging greenery and soft lighting created and ultra-romantic ambiance for the tented evening reception.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NzI2,14:  Elegant   Green   White   Flower Arrangements  Centerpieces   Chairs   Tables   Dining Tables  Modern   Whimsical   Reception   Greens   Tented  Neutrals,Stylistically this is primarily glam; then modern + romantic ,Samantha Meux,"	""additional_terms"" : [
		""hanging"",
		""ceiling"",
		""created""
	],
	""concepts"" : [
		""tented"",
		""lighting"",
		""reception"",
		""leaves""
	]
","reception, formal, elegant, luxury, greens, green, glamorous, modern, ghost chairs, decorations + accents, neutrals","earth tones, ivory, champagne, draping, stage, centerpieces, copper, taupe, stock, anenomes, tables, ballroom, whimsical, regal",,,https://www.theknot.com/real-weddings/greenery-and-flowers-hanging-from-ceiling-photo,https://apis.xogrp.com/media-api/images/f6ad7f08-395b-11e6-af22-0e6345a2d5d3~rs_729.h,
,"Rustic, Outdoor Reception With Communal Tables","At dinner long, dark brown tables were adorned with a simple cream-colored table runner, gold flatware and chargers, and black and gold chairs. The U-shaped seating arrangement sat under a wooden frame from which a floral garland and Edison lightbulbs hung.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU3NTMx, 6: Elegant   Lighting   Rustic   Mountain   Fall  Reception,"Missing tags to describe woodland or trees, wooden table; but primarily this is properly tagged as rustic. For a rustic wedding, it has a modern take, so could use that as the second or third stylistic tag",Carolyn Meers,"	""additional_terms"" : [
		""dark"",
		""seating"",
		""sat"",
		""hung"",
		""floral""
	],
	""concepts"" : [
		""gold"",
		""tables"",
		""garland"",
		""flatware"",
		""chairs"",
		""brown"",
		""black"",
		""simple"",
		""rustic"",
		""reception""
	]
","rustic, trees, wood, greens, brown, reception, tablescapes, flower arrangements, lighting design + setup","Chameleon Chairs; elegant, eco-friendly, earth tones, ivory, garland, stock, dining tables, garden, glamorous, bohemian, backyard",,,https://www.theknot.com/real-weddings/rustic-outdoor-reception-with-communal-tables-photo,https://apis.xogrp.com/media-api/images/a18f5007-2eb1-11e6-af22-0e6345a2d5d3~rs_729.h,
,Casual Dinner Party Vibe,Alicia and Ian kept their dinner reception look casual by forgoing linens and topping tables with runners and blooms.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM3NTU1,3:  Chairs   Dining Tables   Reception,"Missing boho + eclectic primarily; intimate secondary, tropical",Marissa Hermanson,"""additional_terms"" : [
		""runners"",
		""ian"",
		""blooms"",
		""party""
	],
	""concepts"" : [
		""casual"",
		""linens"",
		""tables"",
		""reception""
	]
","Intimate, bohemian, brights, wood, reception ","casual, ikat, color, colorful, geometric, tropical, fuschia, white, vases, centerpieces, garden, cross-back chairs, tablescape, backyard, roses, summer",,,https://www.theknot.com/real-weddings/casual-dinner-party-vibe-photo,https://apis.xogrp.com/media-api/images/fb18baa6-df3c-11e5-af58-22000aa61a3e~rs_729.h,
