Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other Related ,Notes,url_slug,Image Location,TBL Image S3 Location
,Modern Black-And-White Place Setting,"Bold flatware and custom place mats topped the tables along with geometric gold shapes and ""avant-garde"" floral arrangements of wild greenery and pink and red blooms.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDA2MTE2,,5:  Menus   Flatware   Linens   Modern   Reception,Stephanie Cain,"	""additional_terms"" : [
		""greenery"",
		""floral arrangements"",
		""topped"",
		""custom""
	],
	""concepts"" : [
		""flatware"",
		""geometric"",
		""bold"",
		""leaves"",
		""gold"",
		""tables"",
		""pink"",
		""modern"",
		""red""
	]
","modern, eclectic, bohemian, typography, black and white, gold, monogram, flatware, escort + place cards","polka dots, dinnerware, geometric",,,https://www.theknot.com/real-weddings/modern-black-and-white-place-setting-photo-1,https://apis.xogrp.com/media-api/images/092dc07c-7422-11e5-9816-22000aa61a3e~rs_729.h,
,Hand-Calligraphed Lemon-Leaf Escort Cards,"Hitomi and Michael took a rustic approach to their tablescapes, passing on tablecloths to highlight the beautiful wooden farm tables that tied in perfectly with the evening’s theme. Simple striped linens only added to the understated elegance of the decor, with hand-calligraphed lemon-leaf place cards introducing a note of whimsy.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAyMTA3,,2:  Escort + Place Cards   Rustic,Libby MacCarthy,"        ""additional_terms"" : [
                ""tablecloths"",
                ""tied"",
                ""escort cards"",
                ""added"",
                ""highlight"",
                ""wooden"",
                ""decor"",
                ""theme"",
                ""introducing"",
                ""place cards""
        ],
        ""concepts"" : [
                ""tablescapes"",
                ""linens"",
                ""simple"",
                ""tables"",
                ""rustic""
        ]","rustic, simple, escort + place cards, leaves, calligraphy, tablescape, greens","DIY, menus, monogram, afforadable, garland, candle, flatware, linens ",,,https://www.theknot.com/real-weddings/hand-calligraphed-lemon-leaf-escort-cards-photo,https://apis.xogrp.com/media-api/images/39ea60b4-6629-11e5-9816-22000aa61a3e~rs_729.h,
,Crystal Candelabra Reception Centerpieces,"In addition to a scattering of votive candles, the reception tables were illuminated by elegant crystal candelabras holding white tapered candles. The warm candlelight infused the room with romance and ambiance, tying in seamlessly with the garden-inspired centerpieces and cozy faux-fur throws.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAxNjU0,,5:  Centerpieces   Candelabras   Romantic   Whimsical  Fall,Libby MacCarthy,"        ""additional_terms"" : [
                ""tablecloths"",
                ""tied"",
                ""escort cards"",
                ""added"",
                ""highlight"",
                ""wooden"",
                ""decor"",
                ""theme"",
                ""introducing"",
                ""place cards""
        ],
        ""concepts"" : [
                ""tablescapes"",
                ""linens"",
                ""simple"",
                ""tables"",
                ""rustic""
        ]
","candelabras, tablescape, romantic, bohemian, taupe, centerpieces, candles, eclectic","ivy, roses, queen anne's lace, dahlia, garden flower, hydrangea, fern, dinnerware, flatware, glassware, modern, vintage, chiavari chairs, lady's mantle",,,https://www.theknot.com/real-weddings/crystal-candelabra-reception-centerpieces-photo,https://apis.xogrp.com/media-api/images/9c9ecd42-63b0-11e5-9816-22000aa61a3e~rs_729.h,
,Modern Pink and Orange Centerpieces,"Modern and bright were the guiding principles for the reception decor, with the tables dressed with black-and-white-striped table runners, as well as pink and white linens. August, Sage and Violet created bold centerpieces with black cylindrical vessels and a summery mix of fuchsia and orange flowers, including dahlias, garden roses, zinnias, celosias, ranunculus, sweet peas, lilies, pincushion flowers and proteas.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAwNzE5,,1:  Brights,Libby MacCarthy,"         ""additional_terms"" : [
                ""bright"",
                ""flowers"",
                ""mix"",
                ""including"",
                ""august""
        ],
        ""concepts"" : [
                ""centerpieces"",
                ""modern"",
                ""proteas"",
                ""pink"",
                ""orange"",
                ""garden roses"",
                ""sage"",
                ""zinnias"",
                ""sweet peas"",
                ""lilies"",
                ""fuchsia"",
                ""coxcomb"",
                ""ranunculus"",
                ""dahlias"",
                ""bold"",
                ""linens"",
                ""black"",
                ""colorful"",
                ""brights"",
                ""tables"",
                ""white"",
                ""roses"",
                ""sweet"",
                ""garden""
        ]","tablescape, casual, brghts, stripes, centerpieces, eclectic, whimsical, pink ","coxcomb, rananculous, dahlia, sweetpea, vases, black, peach, preppy, dinnerware, black and white",,,https://www.theknot.com/real-weddings/modern-pink-and-orange-centerpieces-photo,https://apis.xogrp.com/media-api/images/5a2ba658-6151-11e5-9816-22000aa61a3e~rs_729.h,
,Ivory Lace Table Linen,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzgwNTEw,,7:  Elegant   Lace   Ivory   Dinnerware   Linens  Romantic   Fall,Lauren Levy,"        ""concepts"" : [
                ""linens"",
                ""lace"",
                ""ivory"",
                ""tables""
        ]","tablescape, earthtones, formal, fall, plum, red, lace, elegant, rustic","flatware, glassware, calligraphy, linens, gold, orchids, fruit, cala lilies, garlands, roses, garden roses, dahlias, amaranthus, ivory, ",,,https://www.theknot.com/real-weddings/ivory-lace-table-linen-photo,https://apis.xogrp.com/media-api/images/bb868c98-2708-11e5-9816-22000aa61a3e~rs_729.h,
,Elaborate Red Rose Centerpiece on Gold Stand,"Dalsimer Spitz and Peck, Lauren and Brendan’s florist, went all-out on their different-style centerpieces. One of the arrangements included a large pomander of red and pink roses, red delphiniums, pink calla lilies and red stock flowers that draped over a tall gold candlestick. Red flower petals even surrounded the base alongside tealight candles.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzc2NTMy,,7:  Traditional   Gold   Red   Centerpieces   Glamorous  Country Club   Roses,Jaclyn Saumell,"        ""additional_terms"" : [
                ""flowers"",
                ""centerpiece"",
                ""arrangements included"",
                ""draped"",
                ""florist"",
                ""arrangements"",
                ""base"",
                ""petals"",
                ""surrounded"",
                ""large""
        ],
        ""concepts"" : [
                ""red"",
                ""centerpieces"",
                ""delphiniums"",
                ""calla lilies"",
                ""candles"",
                ""roses"",
                ""pink"",
                ""gold"",
                ""lilies"",
                ""stock""
        ]","red, gold, glamorous, centerpieces, tall centerpieces, regal, traditional, ballroom, classic","metallics, linens, formal, flatware, roses, amaranthus, roses, cala lily, stock, delphinium, pedestal , luxury",,,https://www.theknot.com/real-weddings/elaborate-red-rose-centerpiece-on-gold-stand-photo,https://apis.xogrp.com/media-api/images/8ca411c2-0b90-11e5-be0a-22000aa61a3e~rs_729.h,
,Lavish Pink Rose Arrangements with Blush Linens,Floral arrangements were designed to look as though they were growing up into the trees in the reception tent.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQwMjg5,,6:  Pink   Centerpieces   Centerpieces   Dining Tables  Glamorous   Romantic,Marissa Hermanson,"        ""additional_terms"" : [
		""arrangements"",
		""floral arrangements"",
		""growing"",
		""designed""
	],
	""concepts"" : [
		""linens"",
		""tented"",
		""tents"",
		""trees"",
		""blush"",
		""reception"",
		""roses"",
		""pink""
	]
","romantic, pastels, trees, blush, classic, formal, centerpieces","hydrangea, rananculus, linens, roses, tents, chiavari chairs, candles, pedestals, lavender, luxury, snapdragons, pink, ivory, tall centerpieces, glamorous",,,https://www.theknot.com/real-weddings/lavish-pink-rose-arrangements-with-blush-linens-photo-1,https://apis.xogrp.com/media-api/images/f10e5ec4-eb0f-11e5-af58-22000aa61a3e~rs_729.h,
,Birch Wood Centerpiece Decor,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI4NjQ4,,3:  Centerpieces   Natural   Wildflowers,Allie Volpe,"        ""concepts"" : [
                ""wood"",
                ""centerpieces""
        ]
 ","natural, eco-friendly, centerpieces, plants, causal, wood, tablescape, neutrals","pedestals, affordable, simple, wax flowers, lavender flowers, DIY, linens, ivory, garden, flatware",,,https://www.theknot.com/real-weddings/birch-wood-centerpiece-decor-photo-1,https://apis.xogrp.com/media-api/images/ca2025de-bb00-11e5-af58-22000aa61a3e~rs_729.h,
,Colorful DIY Yarn Display Backdrop,"A large yarn display strung behind the sweetheart table added a homespun vibe to the couple's bold, bohemian-inspired decor. ""We wanted our wedding to stand out from the norm and for our guests to feel an overwhelming sense of cheer and happiness,"" Courtney says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDIzMTQ5,,8:  Colorful   DIY   Decorations + Accents   Backdrops  Dining Tables   Bohemian   Barn   Reception,Allie Volpe,"	""additional_terms"" : [
		""display"",
		""large"",
		""strung"",
		""stand"",
		""courtney"",
		""decor"",
		""added"",
		""couple's""
	],
	""concepts"" : [
		""homespun"",
		""sweetheart table"",
		""bold"",
		""diy"",
		""colorful"",
		""backdrops"",
		""guests"",
		""wedding"",
		""tables""
	]","sweetheart table, bohemian, colorful, DIY, vintage, barn","casual, plants, poppy, greens, vases, wood, tables, chairs, Marais Chairs, retro, color, brights,fuschia, orange, burnt orange, brown, ivory, mustard, backdrops, farm + ranch, rustic, whimsical, eclectic, alternative",,,https://www.theknot.com/real-weddings/colorful-diy-yarn-display-backdrop-photo-1,https://apis.xogrp.com/media-api/images/97ea642e-b30a-11e5-be52-22000aa61a3e~rs_729.h,
,Mismatched Glass Dinnerware,"To achieve the vintage chic aesthetic they were after, Annie and Matt dressed their dinner tables with lace table runners, ornate crystal glassware and mismatched dishes and cutlery.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDA2NjUz,,1:  Tables,,"        ""additional_terms"" : [
                ""glass"",
                ""runners""
        ],
        ""concepts"" : [
                ""glassware"",
                ""dinnerware"",
                ""mismatched"",
                ""vintage"",
                ""chic"",
                ""lace"",
                ""tables""
        ]
","tablescape, bohemian, modern, centerpieces, vintage, neutrals, wood","dinnerware, mirrored, garden roses, euctalyptus, succulent, flatware, glassware, blush, gold, eclectic",,,https://www.theknot.com/real-weddings/mismatched-glass-dinnerware-photo,https://apis.xogrp.com/media-api/images/3df4391c-76e8-11e5-9816-22000aa61a3e~rs_729.h,
