Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other Related Tags,Notes,url_slug,Image Location,TBL Image S3 Location
,"White, Blue and Green Bridal Bouquet","Jessica gave her florist free rein with flowers, as long as they were in the white, blue and gold color scheme. Her bouquet consisted of anemones, with a dark blue ribbon to match the overall decor.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDk1Mjgw,"the bold black and white without any other flowers of anenomies feels modern - yet can also be perceived by some as romantic, classic, or even eclectic depending on the other paired items from the wedding. Again, as a solo photo, this image lends itself to a modern vibe.",2:  Bouquets   Anemones,Chrissy Sorenson,"""additional_terms"" : [
		""flowers"",
		""bouquet"",
		""bridal"",
		""gave"",
		""decor"",
		""dark"",
		""long"",
		""jessica""
	],
	""concepts"" : [
		""blue"",
		""anemones"",
		""bouquets"",
		""color"",
		""white"",
		""green"",
		""greens"",
		""gold"",
		""ribbon""
	]
","Modern, Black and White, bouquets, anemones","Simple, ferns, navy, white, natural, classic",,,https://www.theknot.com/real-weddings/white-blue-and-green-bridal-bouquet-photo,https://apis.xogrp.com/media-api/images/64353f02-6af6-11e5-9816-22000aa61a3e~rs_729.h,
,Nontraditional Pink Wedding Flowers,"A nontraditional bouquet was on Anna’s list of wedding day priorities. “I wanted blooms that were super fun and did not scream ‘wedding flowers,’ ” she says. A fan of texture and unusual blooms, Anna worked with her florist to select a variety of South African desert flowers—proteas, bright snapdragons, textured ferns and sweet peas. There was a mix of soft and hard flowers to keep the bouquet “funky yet romantic.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU2ODc2,"Missing style tags: modern + eclectic; secondary could also be boho, glam. Non-traditional really nails it though since this is a very unexpected bouquet and appealing for more of a daring bride",5:  Pink   Bouquets   Ferns   Proteas   Snapdragons,Chrissy Sorenson,"""additional_terms"" : [
		""desert"",
		""anna"",
		""hard"",
		""blooms"",
		""select"",
		""fun"",
		""worked"",
		""flowers"",
		""wedding day"",
		""soft""
	],
	""concepts"" : [
		""african"",
		""textured"",
		""bouquets"",
		""snapdragons"",
		""sweet peas"",
		""ferns"",
		""wedding"",
		""colorful"",
		""brights"",
		""pink"",
		""romantic"",
		""sweet"",
		""fans""
	]
","modern, bouquets, pink, ferns, proteas, whimsical","airplants, freesia, silver brunia, sweet peas, veronica, starflower, Alstroemeria, creative, green, sage, tropical, alternative, bohemian,  succulent , scabiosa",,,https://www.theknot.com/real-weddings/nontraditional-pink-wedding-flowers-photo,https://apis.xogrp.com/media-api/images/cc8dd95a-2cec-11e6-af22-0e6345a2d5d3~rs_729.h,
,Bouquet With White Flowers and Greenery,"Olga is from Russia, where flowers have very specific meanings, so she carefully selected only those with positive significance. Her oversize bouquet featured neutral blooms and cascading greenery with a refined organic texture.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NzI2,Style is glam + eclectic; secondary is rustic + modern. Lace and bride should be secondary or third since it's not a dominant part of this image,8: Lace   Green   White   Bouquets   Natural  Bride   Greens   Neutrals,Samantha Meux,"	""additional_terms"" : [
		""bouquet"",
		""greenery"",
		""cascading"",
		""flowers"",
		""blooms"",
		""featured""
	],
	""concepts"" : [
		""leaves"",
		""bouquets"",
		""refined"",
		""textured"",
		""organic"",
		""neutrals"",
		""white""
	]
","bouquets, greens, white, alternative, modern","creative, rose, gardenia, tuberose, moss, airplant, ferns, lambsear, succulent, rananculous, stock, bohemian, ",,,https://www.theknot.com/real-weddings/bouquet-with-white-flowers-and-greenery-photo,https://apis.xogrp.com/media-api/images/da17dec9-3956-11e6-af22-0e6345a2d5d3~rs_729.h,
,Bridesmaid Hydrangea Bouquets,"Nicole's bridesmaids carried bouquets of her favorite flower: hydrangeas. ""I came across these stunning bouquets on Pinterest and was inspired,"" she says. ""I didn't want to have only one color for the wedding, so the flowers were shades of blue, purple, fuchsia and white. They pulled together the bridal party colors, and it felt like it elevated the energy, look and feel in all the pictures because it was so colorful and bright.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDUyODk4,"Missing classic, maybe romantic as a secondary tag",3:  Indian   Bridesmaids   Hydrangeas,Ginger Harris,"""additional_terms"" : [
		""hydrangea"",
		""bridesmaids carried"",
		""flowers"",
		""inspired"",
		""felt"",
		""stunning"",
		""shades""
	],
	""concepts"" : [
		""bouquets"",
		""hydrangeas"",
		""bridesmaids"",
		""colorful"",
		""color"",
		""fuchsia"",
		""brights"",
		""purple"",
		""blue"",
		""white"",
		""pictures"",
		""photo"",
		""wedding""
	]
","bouquets, ombre, jewel tones, purple, classic","blue, lavendar, simple, colorful, romantic",,,https://www.theknot.com/real-weddings/bridesmaid-hydrangea-bouquets-photo,https://apis.xogrp.com/media-api/images/c3b935ae-1d2e-11e6-af22-0e6345a2d5d3~rs_729.h,
,Southwestern Arrangements,"“We wanted to have a sort-of Southwestern palette for our flowers and wanted them to be fresh and bright but also soft,” Alicia says of their arrangements, which included cacti, succulents and an array of romantic blooms. “Our wedding flowers were out of this world.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM3NTU1,"Missing eclectic + boho primarily, but also modern and rustic secondarily",2:  Flower Arrangements   Succulents,Marissa Hermanson,"""additional_terms"" : [
		""soft"",
		""arrangements"",
		""bright"",
		""flowers"",
		""palette"",
		""included"",
		""fresh"",
		""alicia""
	],
	""concepts"" : [
		""southwestern"",
		""succulents"",
		""colorful"",
		""brights"",
		""wedding"",
		""romantic""
	]
","romantic, tropical, jewel tones, floral arrangements, eclecitc","snapdragon, plum, fuschia, garden rose, lisianthus, pink, greens, anenome, succulent, hypericum, pedestals,  modern, whimsical",,,https://www.theknot.com/real-weddings/southwestern-arrangements-photo,https://apis.xogrp.com/media-api/images/40a558a0-df3c-11e5-af58-22000aa61a3e~rs_729.h,
,White Orchid and Rose Bridal Bouquet,"Megan took the traditional route when it came to her bouquet, working with Bella Flora to create a showstopping arrangement of all-white blooms. Roses and ranunculus offered the bouquet a romantic vibe, while cascades of white orchids brought the drama in a big way.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI5NzEy,"Missing glam as the main style indicator; possibly also Great Gatsby, metallic, classic",4:  White   Bouquets   Orchids   Roses,Libby MacCarthy,"""additional_terms"" : [
		""orchid"",
		""bouquet"",
		""cascades"",
		""arrangement"",
		""create""
	],
	""concepts"" : [
		""bouquets"",
		""orchids"",
		""ranunculus"",
		""white"",
		""roses"",
		""traditional"",
		""romantic"",
		""classic""
	]
","bouquets, whites, neutrals, metallics, orchids, roses, classic","champagne, glamorous, blush, hydrangea, pastels, rananculous, traditional, romantic",,,https://www.theknot.com/real-weddings/white-orchid-and-rose-bridal-bouquet-photo-3,,
,All-White Bouquet With Exposed Greenery,"Alima kept her bridal bouquet neutral and pristine with white polo roses, white garden roses, white stock and Italian ruscus.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDE2Njkz,Missing classic as the key style tag,3:  White   Bouquets   Roses,Jane Kellogg Murray,"	""additional_terms"" : [
		""bridal""
	],
	""concepts"" : [
		""white"",
		""bouquets"",
		""garden roses"",
		""stock"",
		""leaves"",
		""neutrals"",
		""roses"",
		""italian"",
		""garden""
	]
","bouquets, pale yellow, roses, greens, classic","traditional, stock, white, romantic",,,https://www.theknot.com/real-weddings/all-white-bouquet-with-exposed-greenery-photo,https://apis.xogrp.com/media-api/images/1dff5d80-9920-11e5-9816-22000aa61a3e~rs_729.h,
,Green Jasmine and Eucalyptus Bouquet,"""I wanted an organic, timeless bouquet that was reminiscent of yesteryear,"" Caroline says. She carried a dreamy cascade of jasmine vine, eucalyptus, roses and dusty miller.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzUwNTcx,"Some girls go nuts for these oversized bouquets. Missing glam as the main style indicator. Vintage could be a secondary style associated with this image too, though I wouldn't consider this wedding to be vintage, but the flowers could appeal to a vintage bride. ", 6: Elegant   Formal   Green   Bouquets   Greens  Roses,Meghan Overdeep,"""additional_terms"" : [
		""bouquet"",
		""cascade"",
		""carried""
	],
	""concepts"" : [
		""eucalyptus"",
		""dusty miller"",
		""bouquets"",
		""organic"",
		""classic"",
		""roses"",
		""green"",
		""greens""
	]
","romantic, vintage, greens, ivory, blush, euctalyptus, roses, bouquets","elegant, classic, formal, luxury, oversized, cascading",,,https://www.theknot.com/real-weddings/green-jasmine-and-eucalyptus-bouquet-photo,https://apis.xogrp.com/media-api/images/81f1f9a4-dd39-11e4-be0a-22000aa61a3e~rs_729.h,
,Elaborate Garden-Style Red Peony Bouquet,"Her bouquet was fit for an enchanted garden. Designed by Judy Suarez, their florist, pink and red roses and red peonies were surrounded by lush greenery. Eucalyptus and leaves from an evergreen tree brought in their natural flair.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzgyODky,"Missing romantic as primary; classic as a secondary. We don't see as many classic red bouquets like we used to, but we should predict there will be more traditional couples looking for standards such as this, aka ""the red romantic bouquet."" The pink gown could throw off some more traditional users though.",8:  Pink   Red   Bouquets   Garden   Winter  Peonies   Roses   Eucalyptus,Jaclyn Saumell,"""additional_terms"" : [
		""brought"",
		""florist"",
		""fit"",
		""surrounded"",
		""designed"",
		""enchanted"",
		""flair""
	],
	""concepts"" : [
		""red"",
		""peonies"",
		""bouquets"",
		""pine"",
		""eucalyptus"",
		""leaves"",
		""trees"",
		""roses"",
		""natural"",
		""pink"",
		""garden""
	]
","red, romantic, regal, rose, classic, bouquets, peonies","eleegant, traditional, lavendar, pine, eucatalyptus, winter, glamorous, vintage",,,https://www.theknot.com/real-weddings/elaborate-garden-style-red-peony-bouquet-photo,https://apis.xogrp.com/media-api/images/01469c5a-d1b4-11e4-be0a-22000aa61a3e~rs_729.h,
,White Rose and Calla Lily Bouquet,"To complement her timeless Carolina Herrera gown, Taryn carried a timeless bouquet consisting of white roses and calla lilies wrapped in ribbon.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NTQz,,6:  Classic   White   Bouquets   Bride   Calla Lilies  Roses,Rachel Sylvester,"""additional_terms"" : [
		""timeless"",
		""gown"",
		""complement"",
		""wrapped"",
		""carried""
	],
	""concepts"" : [
		""calla lilies"",
		""classic"",
		""ribbon"",
		""white"",
		""roses"",
		""bouquets"",
		""lilies""
	]
","classic, white, romantic, bouquets, roses","traditional, elegant, formal, cala lily, tulip, ribbon, bouquet wrap, veil, lace, romantic",,,https://www.theknot.com/real-weddings/white-rose-and-calla-lily-bouquet-photo-5,https://apis.xogrp.com/media-api/images/d9ea1e44-38b1-11e6-af22-0e6345a2d5d3~rs_729.h,
,Elegant Cherry Blossom Centerpiece,"""I'm not a big color person, so my motto was 'chic but minimal,' "" Taryn says of outfitting their iconic venue in cherry blossoms and plenty of candlelight.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NTQz,, 5: Elegant   Centerpieces   Glamorous   Ballroom  Cherry Blossoms,Rachel Sylvester,"""additional_terms"" : [
		""cherry blossom"",
		""centerpiece""
	],
	""concepts"" : [
		""cherry blossoms"",
		""minimal"",
		""chic"",
		""centerpieces"",
		""elegant"",
		""color""
	]
","cherry blossom, tablescape, centerpieces, candles, regal, luxury, tall centerpieces, neutrals","elegant, formal, candles, chairs, chameleon chairs, vases, roses, ballroom, rooftop, taupe, ivory, bouquets, banana leavves, tulips",,,https://www.theknot.com/real-weddings/elegant-cherry-blossom-centerpiece-photo,https://apis.xogrp.com/media-api/images/324ef61d-38b3-11e6-af22-0e6345a2d5d3~rs_729.h,
,"Pink Anemone, Dahlia and Ranunculus Bouquet","“I wanted a lush, garden-inspired bouquet in shades of pink and Bridget of Violet & Verde more than delivered,” Maura says. For her bridesmaids, the florists create compact versions of Maura’s bouquet, filled with playful pink anemones, dahlias, ranunculus and garden roses that popped against their classic navy dresses.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQyNDQ4,, 5: Pink   Bouquets   Anemones   Dahlias   Ranunculus,Libby MacCarthy,"""additional_terms"" : [
		""bouquet"",
		""dahlia"",
		""anemone"",
		""popped"",
		""shades"",
		""filled"",
		""florists"",
		""lush"",
		""garden-inspired"",
		""create""
	],
	""concepts"" : [
		""bouquets"",
		""anemones"",
		""ranunculus"",
		""dahlias"",
		""pink"",
		""garden roses"",
		""playful"",
		""navy"",
		""bridesmaids"",
		""dresses"",
		""classic"",
		""roses"",
		""garden""
	]
","bouquets, pink, colorful, casual, preppy","nautical, navy, ranunculus, dahlia, anemones, garden roses, greens, navy, astilbes",,,https://www.theknot.com/real-weddings/pink-anemone-dahlia-and-ranunculus-bouquet-photo,https://apis.xogrp.com/media-api/images/78c48caa-f51d-11e5-b1c6-22000aa61a3e~rs_729.h,
,Ivory and Purple Floral Centerpieces,"House of Flowers created a distinct centerpiece for Ashley and Charlie’s sweetheart table. In lieu of the towering cherry blossom-inspired arrangements, the florists displayed two bouquets of purple and white roses, stock and hydrangeas in small square vases, which they styled alongside stemmed mercury-glass votive candleholders. At the center of the arrangement stood Ashley’s calla lily and hydrangea bouquet, adding height and a touch of drama to the petite tablescape.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM5MjY5,,4:  Centerpieces   Calla Lilies   Hydrangeas   Roses,Libby MacCarthy,"""additional_terms"" : [
                ""cherry blossom"",
                ""ashley"",
                ""center"",
                ""florists"",
                ""displayed"",
                ""small"",
                ""stood"",
                ""towering"",
                ""square"",
                ""styled"",
                ""house"",
                ""touch"",
                ""arrangement"",
                ""adding"",
                ""flowers"",
                ""flowers created""
        ],
        ""concepts"" : [
                ""hydrangeas"",
                ""bouquets"",
                ""centerpieces"",
                ""cherry blossoms"",
                ""purple"",
                ""sweetheart table"",
                ""stock"",
                ""vases"",
                ""calla lilies"",
                ""roses"",
                ""ivory"",
                ""white"",
                ""tables"",
                ""lilies""
        ]
","bouquets, sweetheart table, white, purple, classic","casual, traditional, mirrored, vases, candles, ribbon, cala lilies, hydrangea, roses, lambs ear, linens, chiavari chairs, ballroom, centerpieces, stock",,,https://www.theknot.com/real-weddings/ivory-and-purple-floral-centerpieces-photo,https://apis.xogrp.com/media-api/images/94c8b3c2-e65e-11e5-af58-22000aa61a3e~rs_729.h,
,King Protea and Fern Bridal Bouquet,"“The one thing I knew I wanted to have in terms of flowers was king proteas,” Nina says. “I saw a picture of them and instantly fell in love because they look like the floats we make on the Thai New Year and I wanted to include elements from Thailand into the wedding.” Karma Flowers incorporated the statement blooms into both Nina and her bridesmaid bouquets, pairing them with ferns, tropical foliage and small textured flowers.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAzNTI0,, 5:Bouquets   Bohemian   Whimsical   Ferns   Proteas,Libby MacCarthy,"""additional_terms"" : [
		""king protea"",
		""flowers"",
		""fern"",
		""incorporated"",
		""blooms"",
		""bridesmaid"",
		""elements"",
		""pairing"",
		""bridal"",
		""small"",
		""make"",
		""thing"",
		""love""
	],
	""concepts"" : [
		""proteas"",
		""ferns"",
		""bouquets"",
		""thai"",
		""textured"",
		""bridesmaids"",
		""fall"",
		""pictures"",
		""photo"",
		""wedding"",
		""news"",
		""tropical""
	]
","bouquets, blush, proteas, bohemian, modern","alternative, tropical, tuberose, blushing bride, white, pink, green, tropical, ivory",,,https://www.theknot.com/real-weddings/king-protea-and-fern-bridal-bouquet-photo,https://apis.xogrp.com/media-api/images/f0dc2a1a-6ab0-11e5-9816-22000aa61a3e~rs_729.h,
